"Statistic Label","Quarter","Size of Employees per Enterprise","Economic Sector NACE Rev 2","UNIT","VALUE"
"Average Hourly Earnings","2009Q4","Under 50","Construction (F)","Euro","19.71"
"Average Hourly Earnings","2009Q4","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.22"
"Average Hourly Earnings","2009Q4","Under 50","Transportation and storage (H)","Euro","16.55"
"Average Hourly Earnings","2009Q4","Under 50","Accommodation and food service activities (I)","Euro","12.76"
"Average Hourly Earnings","2009Q4","Under 50","Information and communication (J)","Euro","24.32"
"Average Hourly Earnings","2009Q4","Under 50","Professional, scientific and technical activities (M)","Euro","22.96"
"Average Hourly Earnings","2009Q4","Under 50","Administrative and support service activities (N)","Euro","19.16"
"Average Hourly Earnings","2009Q4","Under 50","Public administration and defence; compulsory social security (O)","Euro","23.27"
"Average Hourly Earnings","2009Q4","Under 50","Education (P)","Euro","17"
"Average Hourly Earnings","2009Q4","Under 50","Human health and social work activities (Q)","Euro","16.62"
"Average Hourly Earnings","2009Q4","Under 50","Industry (B to E)","Euro","17.97"
"Average Hourly Earnings","2009Q4","Under 50","Financial, insurance and real estate activities (K,L)","Euro","27.96"
"Average Hourly Earnings","2009Q4","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","15.44"
"Average Hourly Earnings","2009Q4","50 - 250","All NACE economic sectors","Euro","20.5"
"Average Hourly Earnings","2009Q4","50 - 250","Construction (F)","Euro","25.03"
"Average Hourly Earnings","2009Q4","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","18.07"
"Average Hourly Earnings","2009Q4","50 - 250","Transportation and storage (H)","Euro","18.61"
"Average Hourly Earnings","2009Q4","50 - 250","Accommodation and food service activities (I)","Euro","12.96"
"Average Hourly Earnings","2009Q4","50 - 250","Information and communication (J)","Euro","29.22"
"Average Hourly Earnings","2009Q4","50 - 250","Professional, scientific and technical activities (M)","Euro","28.33"
"Average Hourly Earnings","2009Q4","50 - 250","Administrative and support service activities (N)","Euro","17.03"
"Average Hourly Earnings","2009Q4","50 - 250","Public administration and defence; compulsory social security (O)","Euro","32.39"
"Average Hourly Earnings","2009Q4","50 - 250","Education (P)","Euro","29.82"
"Average Hourly Earnings","2009Q4","50 - 250","Human health and social work activities (Q)","Euro","19.4"
"Average Hourly Earnings","2009Q4","50 - 250","Industry (B to E)","Euro","19.73"
"Average Hourly Earnings","2009Q4","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","32.27"
"Average Hourly Earnings","2009Q4","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","21.24"
"Average Hourly Earnings","2009Q4","Greater than 250","All NACE economic sectors","Euro","26.26"
"Average Hourly Earnings","2009Q4","Greater than 250","Construction (F)","Euro","26.02"
"Average Hourly Earnings","2009Q4","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","15.94"
"Average Hourly Earnings","2009Q4","Greater than 250","Transportation and storage (H)","Euro","22.3"
"Average Hourly Earnings","2009Q4","Greater than 250","Accommodation and food service activities (I)","Euro","12.66"
"Average Hourly Earnings","2009Q4","Greater than 250","Information and communication (J)","Euro","27.03"
"Average Hourly Earnings","2009Q4","Greater than 250","Professional, scientific and technical activities (M)","Euro","25.09"
"Average Hourly Earnings","2009Q4","Greater than 250","Administrative and support service activities (N)","Euro","14.75"
"Average Hourly Earnings","2009Q4","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","27.44"
"Average Hourly Earnings","2009Q4","Greater than 250","Education (P)","Euro","38.81"
"Average Hourly Earnings","2009Q4","Greater than 250","Human health and social work activities (Q)","Euro","27.56"
"Average Hourly Earnings","2009Q4","Greater than 250","Industry (B to E)","Euro","25.64"
"Average Hourly Earnings","2009Q4","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","29.55"
"Average Hourly Earnings","2009Q4","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","15.45"
"Average Hourly Earnings","2010Q1","Under 50","All NACE economic sectors","Euro","17.73"
"Average Hourly Earnings","2010Q1","Under 50","Construction (F)","Euro","19.28"
"Average Hourly Earnings","2010Q1","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.03"
"Average Hourly Earnings","2010Q1","Under 50","Transportation and storage (H)","Euro","15.46"
"Average Hourly Earnings","2010Q1","Under 50","Accommodation and food service activities (I)","Euro","12.61"
"Average Hourly Earnings","2010Q1","Under 50","Information and communication (J)","Euro","23.43"
"Average Hourly Earnings","2010Q1","Under 50","Professional, scientific and technical activities (M)","Euro","25.03"
"Average Hourly Earnings","2010Q1","Under 50","Administrative and support service activities (N)","Euro","18.79"
"Average Hourly Earnings","2010Q1","Under 50","Public administration and defence; compulsory social security (O)","Euro","20.79"
"Average Hourly Earnings","2010Q1","Under 50","Education (P)","Euro","18.05"
"Average Hourly Earnings","2010Q1","Under 50","Human health and social work activities (Q)","Euro","16.22"
"Average Hourly Earnings","2010Q1","Under 50","Industry (B to E)","Euro","17.14"
"Average Hourly Earnings","2010Q1","Under 50","Financial, insurance and real estate activities (K,L)","Euro","26.89"
"Average Hourly Earnings","2010Q1","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","14.62"
"Average Hourly Earnings","2010Q1","50 - 250","All NACE economic sectors","Euro","20.51"
"Average Hourly Earnings","2010Q1","50 - 250","Construction (F)","Euro","22.45"
"Average Hourly Earnings","2010Q1","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","18.39"
"Average Hourly Earnings","2010Q1","50 - 250","Transportation and storage (H)","Euro","18.57"
"Average Hourly Earnings","2010Q1","50 - 250","Accommodation and food service activities (I)","Euro","12.85"
"Average Hourly Earnings","2010Q1","50 - 250","Information and communication (J)","Euro","27.74"
"Average Hourly Earnings","2010Q1","50 - 250","Professional, scientific and technical activities (M)","Euro","32.14"
"Average Hourly Earnings","2010Q1","50 - 250","Administrative and support service activities (N)","Euro","16.62"
"Average Hourly Earnings","2010Q1","50 - 250","Public administration and defence; compulsory social security (O)","Euro","31.65"
"Average Hourly Earnings","2010Q1","50 - 250","Education (P)","Euro","29.15"
"Average Hourly Earnings","2010Q1","50 - 250","Human health and social work activities (Q)","Euro","18.68"
"Average Hourly Earnings","2010Q1","50 - 250","Industry (B to E)","Euro","19.74"
"Average Hourly Earnings","2010Q1","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","35.61"
"Average Hourly Earnings","2010Q1","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","20.1"
"Average Hourly Earnings","2010Q1","Greater than 250","All NACE economic sectors","Euro","25.94"
"Average Hourly Earnings","2010Q1","Greater than 250","Construction (F)","Euro","25.39"
"Average Hourly Earnings","2010Q1","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.08"
"Average Hourly Earnings","2010Q1","Greater than 250","Transportation and storage (H)","Euro","21.76"
"Average Hourly Earnings","2010Q1","Greater than 250","Accommodation and food service activities (I)","Euro","12.59"
"Average Hourly Earnings","2010Q1","Greater than 250","Information and communication (J)","Euro","26.7"
"Average Hourly Earnings","2010Q1","Greater than 250","Professional, scientific and technical activities (M)","Euro","26.82"
"Average Hourly Earnings","2010Q1","Greater than 250","Administrative and support service activities (N)","Euro","14.98"
"Average Hourly Earnings","2010Q1","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","26.26"
"Average Hourly Earnings","2010Q1","Greater than 250","Education (P)","Euro","37.64"
"Average Hourly Earnings","2010Q1","Greater than 250","Human health and social work activities (Q)","Euro","25.53"
"Average Hourly Earnings","2010Q1","Greater than 250","Industry (B to E)","Euro","26.56"
"Average Hourly Earnings","2010Q1","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","30.53"
"Average Hourly Earnings","2010Q1","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","17.69"
"Average Hourly Earnings","2010Q2","Under 50","All NACE economic sectors","Euro","17.67"
"Average Hourly Earnings","2010Q2","Under 50","Construction (F)","Euro","19.34"
"Average Hourly Earnings","2010Q2","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.25"
"Average Hourly Earnings","2010Q2","Under 50","Transportation and storage (H)","Euro","15.54"
"Average Hourly Earnings","2010Q2","Under 50","Accommodation and food service activities (I)","Euro","12.2"
"Average Hourly Earnings","2010Q2","Under 50","Information and communication (J)","Euro","21.69"
"Average Hourly Earnings","2010Q2","Under 50","Professional, scientific and technical activities (M)","Euro","24.1"
"Average Hourly Earnings","2010Q2","Under 50","Administrative and support service activities (N)","Euro","17.72"
"Average Hourly Earnings","2010Q2","Under 50","Public administration and defence; compulsory social security (O)","Euro","25.62"
"Average Hourly Earnings","2010Q2","Under 50","Education (P)","Euro","17.51"
"Average Hourly Earnings","2010Q2","Under 50","Human health and social work activities (Q)","Euro","16.85"
"Average Hourly Earnings","2010Q2","Under 50","Industry (B to E)","Euro","17.7"
"Average Hourly Earnings","2010Q2","Under 50","Financial, insurance and real estate activities (K,L)","Euro","25.46"
"Average Hourly Earnings","2010Q2","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","15.38"
"Average Hourly Earnings","2010Q2","50 - 250","All NACE economic sectors","Euro","20.04"
"Average Hourly Earnings","2010Q2","50 - 250","Construction (F)","Euro","23.24"
"Average Hourly Earnings","2010Q2","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","18.25"
"Average Hourly Earnings","2010Q2","50 - 250","Transportation and storage (H)","Euro","19.41"
"Average Hourly Earnings","2010Q2","50 - 250","Accommodation and food service activities (I)","Euro","12.6"
"Average Hourly Earnings","2010Q2","50 - 250","Information and communication (J)","Euro","27.49"
"Average Hourly Earnings","2010Q2","50 - 250","Professional, scientific and technical activities (M)","Euro","28.92"
"Average Hourly Earnings","2010Q2","50 - 250","Administrative and support service activities (N)","Euro","16.61"
"Average Hourly Earnings","2010Q2","50 - 250","Public administration and defence; compulsory social security (O)","Euro","31.95"
"Average Hourly Earnings","2010Q2","50 - 250","Education (P)","Euro","27.76"
"Average Hourly Earnings","2010Q2","50 - 250","Human health and social work activities (Q)","Euro","18.26"
"Average Hourly Earnings","2010Q2","50 - 250","Industry (B to E)","Euro","19.59"
"Average Hourly Earnings","2010Q2","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","31.99"
"Average Hourly Earnings","2010Q2","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","19.26"
"Average Hourly Earnings","2010Q2","Greater than 250","All NACE economic sectors","Euro","25.82"
"Average Hourly Earnings","2010Q2","Greater than 250","Construction (F)","Euro","27.05"
"Average Hourly Earnings","2010Q2","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.44"
"Average Hourly Earnings","2010Q2","Greater than 250","Transportation and storage (H)","Euro","21.88"
"Average Hourly Earnings","2010Q2","Greater than 250","Accommodation and food service activities (I)","Euro","12.91"
"Average Hourly Earnings","2010Q2","Greater than 250","Information and communication (J)","Euro","27.29"
"Average Hourly Earnings","2010Q2","Greater than 250","Professional, scientific and technical activities (M)","Euro","26.16"
"Average Hourly Earnings","2010Q2","Greater than 250","Administrative and support service activities (N)","Euro","14.82"
"Average Hourly Earnings","2010Q2","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","26.28"
"Average Hourly Earnings","2010Q2","Greater than 250","Education (P)","Euro","37.34"
"Average Hourly Earnings","2010Q2","Greater than 250","Human health and social work activities (Q)","Euro","26.05"
